---確認(Q)---
BRAQ-001,保存します。よろしいですか？
BRAQ-053,労働時間整理ファイルを取り込みます。よろしいですか？
BRAQ-054,個別結果表が存在しますが、労働時間整理ファイルの取込をしてもよろしいですか？<BR>取込した場合は、個別結果表は削除されます。
BRAQ-055,中間ファイルの上書きをしてもよろしいですか？
BRAQ-056,労働時間整理ファイルを取り込むと、電子調査票の内容が上書きされます。よろしいですか？
BRAQ-057,田畑区分の入力がありません。田畑区分の識別は不要でよろしいですか？
BRAQ-058,保存しない場合、変更は破棄されます。よろしいですか？
BRAQ-059,全国の標本リストを出力します。よろしいですか？
BRAQ-060,農政局ごとの標本リストを出力します。よろしいですか？
BRAQ-061,削除します。よろしいですか？<BR>※保存するまでデータベースからは削除されません。
BRAQ-062,入力値をクリアします。よろしいですか？
BRAQ-063,選択した標本リストを送信します。よろしいですか？
BRAQ-064,選択した標本リストを受信します。よろしいですか？
BRAQ-065,保存しない場合、計算結果は破棄されます。よろしいですか？
BRAQ-066,地域を変更すると母集団がクリアされます。よろしいですか？
BRAQ-067,営農集計倍率の計算を行います。よろしいですか？
BRAQ-068,営農集計倍率の適用を行います。よろしいですか？
BRAQ-069,既に選択した農業地域類型マスタ調査年：{0}のデータは登録されています。上書きしてもよろしいですか？

---通知(I)---
BRAI-001,保存が完了しました。
BRAI-002,出力が完了しました。
BRAI-003,作成が完了しました。
BRAI-004,取込が完了しました。<BR><BR>[取込完了ファイル]<BR>{0}<BR>[取込エラーファイル]<BR>{1}<BR>
BRAI-005,削除が完了しました。
BRAI-006,取込が完了しました。
BRAI-007,個別結果表審査によるエラーデータはありませんでした。
BRAI-008,基本エラーチェックが完了しました。<BR>Ｚエラー件数：{0}<BR>Ｗエラー件数：{1}
BRAI-009,追加エラーチェックが完了しました。<BR>Ｚエラー件数：{0}<BR>Ｗエラー件数：{1}
BRAI-010,バックアップが完了しました。
BRAI-011,レストアが完了しました。
BRAI-012,調査票・個別結果表データの送信が完了しました。
BRAI-013,調査票・個別結果表データの受信が完了しました。
BRAI-014,再計算が完了しました。
BRAI-015,プレプリント調査票作成が完了しました。<BR><BR>[作成完了センサス番号]<BR>{0}<BR>[本年調査票が既に存在するため作成対象外となったセンサス番号]<BR>{1}<BR>
BRAI-016,保存（再計算あり）が完了しました。
BRAI-017,保存（再計算なし）が完了しました。
BRAI-018,修正データのファイル入力が完了しました。
BRAI-019,修正データのファイル出力が完了しました。
BRAI-020,集計が完了しました。
BRAI-021,{0}番～{1}番を採番し、集計が完了しました。
BRAI-022,修正前データの表示が完了しました。
BRAI-023,平均値作成が完了しました。
BRAI-024,平均値代入が完了しました。
BRAI-025,任意階層のファイル入力が完了しました。
BRAI-026,任意階層のファイル出力が完了しました。
BRAI-027,集計結果表データの還元が完了しました。
BRAI-028,集計条件のファイル読込が完了しました。
BRAI-029,集計条件のファイル出力が完了しました。
BRAI-030,センサス番号指定抽出のファイル読込が完了しました。
BRAI-031,抽出対象のデータがありませんでした。
BRAI-032,還元資料パラメータファイルの取込が完了しました。
BRAI-033,還元資料パラメータファイルの出力が完了しました。
BRAI-034,還元資料の印刷が完了しました。
BRAI-035,還元資料の出力が完了しました。
BRAI-036,指定した期間で重複するデータが存在しています。
BRAI-037,牛トレサデータの取込が完了しました。
BRAI-038,牛トレサデータの出力が完了しました。
BRAI-039,牛トレサデータの更新が完了しました。
BRAI-040,牛トレサデータの削除が完了しました。
BRAI-041,送信、または、受信データがありませんでした。
BRAI-042,牛トレサデータプレプリント（総括データ）調査票作成が完了しました。<BR><BR>[作成完了センサス番号]<BR>{0}<BR>[決算月が未入力ため作成できなかったセンサス番号]<BR>{1}
BRAI-043,牛トレサ情報[異動]の取込が完了しました。
BRAI-044,個別結果表一括登録が完了しました。
BRAI-045,労賃単価の反映が完了しました。
BRAI-047,範囲エラーチェックが完了しました。<BR>エラー件数：{0}
BRAI-049,労働時間整理ファイルの取込が完了しました。<BR><BR>{0}
BRAI-050,最大表示件数{0}件を超えました。<BR>対象データがない場合、条件を追加して絞り込みを行ってください。
BRAI-051,変更がないため、保存は不要です。
BRAI-052,標本リストの送信が完了しました。
BRAI-053,標本リストの受信が完了しました。
BRAI-054,営農集計倍率の計算が完了しました。
BRAI-055,営農集計倍率の適用が完了しました。
BRAI-056,電子調査票審査によるエラーデータはありませんでした。

---警告(W)---
BRAW-001,出力が完了しました。<BR>※米在庫調査票データのみ存在するデータが{0}件ありました。
BRAW-002,出力が完了しました。<BR>※エラー件数は{0}件ありましたが、出力上限の10000件までしか出力されません。

---エラー(E)---
BRAE-001,調査区分が選択されていません。
BRAE-002,調査年（産）が選択されていません。
BRAE-003,センサス番号が選択されていません。
BRAE-004,調査年（産）が入力されていません。
BRAE-005,既にデータは登録されています。
BRAE-006,Excel出力に失敗しました。出力ファイルと同じファイル名のExcelファイルが開かれていない事を確認してください。
BRAE-007,取込対象の電子調査票ファイルがありません。
BRAE-008,下記ファイルにエラーがあります。<BR>（※最大エラー件数は50件までしか表示されません。）<BR><BR>ファイル名：{0}<BR>{1}
BRAE-009,他拠点で既にこのセンサス番号の電子調査票が登録されています。<BR>調査年：{0}<BR>都道府県：{1}<BR>実査設置拠点：{2}<BR>センサス番号：{3}
BRAE-010,下記のエラーがあります。<BR>（※最大エラー件数は50件までしか表示されません。）<BR><BR>{0}
BRAE-011,専門調査員が選択されていません。
BRAE-012,ユーザIDには半角英数字、半角ハイフン又は半角アンダーバーしか使用できません。
BRAE-013,センサス番号の各項目について入力がない箇所がございます。
BRAE-014,センサス番号の都道府県が操作拠点を管轄する都道府県ではございません。
BRAE-015,このセンサス番号は担当客体として既に登録されております。
BRAE-016,選択された個別結果表は作成されていないため、削除できません。
BRAE-017,個別結果表作成論理が登録されておりません。
BRAE-018,個別結果検討表作成論理が登録されておりません。
BRAE-019,取込ファイルの形式が不正です。
BRAE-020,以下のフォルダ作成に失敗しました。権限等確認してください。{0}
BRAE-021,センサス番号の各項目に0～9の半角数字以外の入力がございます。
BRAE-022,調査年（産）は西暦（半角数字）で入力してください。
BRAE-023,出力対象データがありません。
BRAE-024,下記のエラーがあります。<BR>（※最大エラー件数は50件までしか表示されません。）<BR><BR>{0}
BRAE-025,調査票審査論理（基本）が登録されておりません。
BRAE-026,調査票審査論理（追加）が登録されておりません。
BRAE-029,個別結果表審査論理（範囲）が登録されておりません。
BRAE-030,集計番号が選択されていません。
BRAE-031,「男女平均＿採用単価＿本年値」「男女平均＿採用単価＿前年値」「男女平均＿通勤手当割合」に未入力項目があります。
BRAE-032,「男女平均＿採用単価＿本年値」「男女平均＿採用単価＿前年値」「男女平均＿通勤手当割合」に半角数字以外の入力があります。
BRAE-033,以下のファイルは電子調査票のシート構成に誤りがございます。<BR>{0}
BRAE-034,バックアップ対象データがありませんでした。
BRAE-035,レストア対象データがありませんでした。
BRAE-036,個別結果表の作成に失敗しました。<BR>センサス番号：{0}<BR>対象項番：{1}
BRAE-037,再計算に失敗しました。<BR>対象項番：{0}
BRAE-038,個別結果表削除対象のセンサス番号は複数選択できません。
BRAE-039,審査エラーの件数が1000件に達したため、基本エラーチェックを中断して1000件までのエラーを表示いたします。<BR>後続の審査を行う場合は、エラーを解消してから再度基本エラーチェックを行ってください。
BRAE-040,審査エラーの件数が1000件に達したため、追加エラーチェックを中断して1000件までのエラーを表示いたします。<BR>後続の審査を行う場合は、エラーを解消してから再度追加エラーチェックを行ってください。
BRAE-041,変更後名称が入力されていません。
BRAE-042,本年に集計番号が設定されていません。
BRAE-043,再編成パラメータが設定されていません。
BRAE-044,帳票レイアウトが設定されていません。
BRAE-045,出力対象が選択されていません。
BRAE-046,集計番号または集計名称が入力されていません。
BRAE-047,集計番号が既に使用されているため集計できません。
BRAE-048,集計結果検討表作成論理が登録されておりません。
BRAE-049,集計結果表作成論理が登録されておりません。
BRAE-050,集計結果表の作成に失敗しました。<BR>集計番号：{0}<BR>対象項番：{1}<BR>
BRAE-051,任意階層が登録されておりません。
BRAE-052,現在使用されている集計番号があるため、{0}番～{1}番の採番ができません。
BRAE-053,集計１～集計４を全て入力するか、部門を1つ以上設定してください。
BRAE-054,個別結果検討表の作成に失敗しました。<BR>センサス番号：{0}<BR>対象項番：{1}<BR>
BRAE-055,電子調査票のエラーチェックに失敗しました。<BR>対象エラーサイン：{0}<BR>
BRAE-056,個別結果表のエラーチェックに失敗しました。<BR>センサス番号：{0}<BR>対象エラーサイン：{1}<BR>
BRAE-057,集計番号は6桁の数値で入力してください。
BRAE-058,CSV出力に失敗しました。出力ファイルと同じファイル名のCSVファイルが開かれていない事を確認してください。
BRAE-059,地域が設定されていません。
BRAE-060,集計結果検討表の作成に失敗しました。<BR>集計番号：{0}<BR>対象項番：{1}<BR>
BRAE-061,貸借対照表区分が設定されていないため、個別結果表作成論理が参照できません。<BR>センサス番号：{0}
BRAE-063,還元資料パラメータファイルの取込が完了しました。<BR>一部行の取込に失敗しました。CSVファイルを確認してください。<BR>（※最大エラー件数は50件までしか表示されません。）<BR><BR>{0}行目<BR>
BRAE-064,項目番号が見つかりませんでした。<BR>対象項番：{0}<BR>
BRAE-065,当年の個別結果表が見つからないため、還元資料作成ができません。<BR>センサス番号：{0}
BRAE-066,集計経営体数が2件以下の集計結果表データは設定できません。対象項目:{0}<BR>
BRAE-067,使用する集計結果表の地域、規模階層を選択してください。対象項目：{0}<BR><BR>空白を選択した場合以下を設定しますが、該当する集計結果表が存在しません。<BR>　地域　　 ：全国<BR>　規模階層：当該客体の規模階層<BR>
BRAE-068,反映対象データがありません。
BRAE-069,期間開始年が入力されていません。
BRAE-070,期間開始年は、{0}～{1}の範囲で入力してください。
BRAE-071,期間開始月が入力されていません。
BRAE-072,期間開始月は、1～12の範囲で入力してください。
BRAE-073,期間終了年が入力されていません。
BRAE-074,期間終了年は、{0}～{1}の範囲で入力してください。
BRAE-075,期間終了月が入力されていません。
BRAE-076,期間終了月は、1～12の範囲で入力してください。
BRAE-077,取込データ名称が入力されていません。
BRAE-078,取込データ名称は、全角50文字以内で入力してください。
BRAE-079,個体情報ファイルが指定されていません。
BRAE-080,指定された[個体情報]ファイルは存在しません。
BRAE-081,異動情報ファイルが指定されていません。
BRAE-082,指定された[異動情報]ファイルは存在しません。
BRAE-083,期間終了年月は、開始年月以降を指定してください。
BRAE-084,期間開始年と期間開始月は、両方とも空欄にするか、両方とも入力してください。
BRAE-085,期間終了年と期間終了月は、両方とも空欄にするか、両方とも入力してください。
BRAE-087,牛トレサ情報[異動]ファイルが指定されていません。
BRAE-086,指定した期間及び取込データ名称と一致するデータが存在するため、修正できません。
BRAE-088,指定された牛トレサ情報[異動]ファイルは存在しません。
BRAE-089,このセンサス番号「{0}」の電子調査票は登録されていません。<BR>電子調査票取込を行った後、再度牛資産異動情報取込行ってください。<BR>
BRAE-090,電子調査票のフォーマットが最新ではありません。<BR>最新のフォーマットに転記し、調査票入力・修正機能から、データの貼り付け等により入力してください。
BRAE-091,個別結果表CSVが格納されたフォルダが選択されていません。
BRAE-092,個別結果表CSVファイルが不足しています。<BR>個別結果表CSVファイル一式を格納後、再実行してください。
BRAE-093,選択した調査年（産）とCSVファイル名に含まれている調査年（産）が不一致です。
BRAE-094,選択した調査年（産）とCSVファイルのデータに含まれている調査年（産）が不一致です。
BRAE-095,出力対象の牛トレサデータが選択されていません。
BRAE-096,修正対象の牛トレサデータがありません。
BRAE-097,削除対象の牛トレサデータが選択されていません。
BRAE-098,牛トレサデータの出力に失敗しました。
BRAE-102,調査票審査論理（範囲）が登録されておりません。
BRAE-103,審査エラーの件数が1000件に達したため、範囲エラーチェックを中断して1000件までのエラーを表示いたします。<BR>後続の審査を行う場合は、エラーを解消してから再度範囲エラーチェックを行ってください。
BRAE-104,「基本エラーチェック」が未実施です。
BRAE-105,選択した電子調査票は現在作業中のため、修正できません。
BRAE-106,「労働時間整理ファイル種類」が選択されていません。
BRAE-107,「労働時間整理ファイル」が入力されていません。
BRAE-108,参照したフォルダにはEXCELファイルが存在しません。
BRAE-109,参照したフォルダには取込上限の数（20ファイル）を超えたEXCELファイルが存在しているため、処理が実行できません。
BRAE-110,下記のエラーがあります。<BR>※各ファイルのエラーメッセージ上限は50件です。<BR><BR>{0}<BR>件数:{1}<BR>{2}<BR>
BRAE-112,選択した電子調査票は現在作業中のため、削除できません。
BRAE-113,「追加エラーチェック」が未実施です。
BRAE-114,「範囲エラーチェック」が未実施です。
BRAE-115, 共有フォルダが作成できません。<BR>「I:\HP\BRA\{0}」が存在しないので、管理者にご連絡ください。
BRAE-116, 出力するエラーがありません。
BRAE-117,農政局が選択されていません。
BRAE-118,実査設置拠点が選択されていません。
BRAE-119,経営形態区分が入力されていません。
BRAE-120,営農類型区分が入力されていません。
BRAE-121,生産費区分が入力されていません。
BRAE-122,読み込んだCSVの列数({0})が標本リスト({1})と一致しません。
BRAE-123,読み込んだCSVの表頭({0})が標本リスト({1})と一致しません。
BRAE-124,以下の一連番号(※10件まで表示)が不正です。<BR>{0}<BR>{1}
BRAE-125,この一連番号{0}は他の拠点で登録済です。
BRAE-126,最大表示件数{0}件を超えるため、追加できません。
BRAE-127,{0}が入力されていません。
BRAE-128,{0}が不正です。{1}を入力してください。
BRAE-129,この一連番号が重複しています。
BRAE-130,この一連番号は登録済です。
BRAE-131,主副業区分が入力されていません。
BRAE-132,青色申告区分が入力されていません。
BRAE-133,集落営農区分が入力されていません。
BRAE-134,地方農政局等が入力されていません。
BRAE-135,送信対象が選択されていません。
BRAE-136,受信対象が選択されていません。
BRAE-137,送信データがありませんでした。<BR>表示ボタンを押下して確認してください。
BRAE-138,受信データがありませんでした。<BR>表示ボタンを押下して確認してください。
BRAE-139,集計結果検討表（報告用）作成論理が登録されておりません。
BRAE-140,田畑区分が入力されていません。
BRAE-141,空のファイルです。
BRAE-142,米在庫リンケージCSVは最大{0}列まで指定可能です。
BRAE-143,{0}行目のCSVの列数が不正です。
BRAE-144,ファイル識別名称が入力されていません。
BRAE-145,調査年が入力されていません。
BRAE-146,調査年は数字で入力してください。
BRAE-147,調査年は2022以上を入力してください。
BRAE-148,調査に「1:営農」が入力されていません。
BRAE-149,項目名称が入力されていません。
BRAE-150,調査が「1:営農」の列は個人調査票項番または法人調査票項番を入力してください。
BRAE-151,個人調査票項番の項番（テーブル列名）が存在しません。
BRAE-152,個人調査票項番の可変の連番は3桁の数字(001等)で入力してください。
BRAE-153,法人調査票項番の項番（テーブル列名）が存在しません。
BRAE-154,調査が「2:米在庫」の列は米在庫調査票列を入力してください。
BRAE-155,入力された調査年の調査票データが存在しません。
BRAE-156,地域が選択されていません。
BRAE-157,以下の経営体の営農集計倍率が計算結果と異なります。<BR>{0}
BRAE-158,営農集計倍率が計算されていません。
BRAE-159,営農集計倍率の整数部が5桁を超えています。母集団の値を確認してください。
BRAE-160,電子調査票のエラーチェックに失敗しました。<BR>センサス番号：{0}<BR>対象エラーサイン：{1}<BR>
BRAE-161,農業地域類型マスタが選択されていません。
BRAE-999,システムエラーが発生しました。
